Хичээлийн_харьяалах_нэгж_дугаар,Хичээлийн_харьяалах_нэгж,Хичээлийн_дугаар,Хичээлийн_нэр,Дүн,Үсгэн_дүн,Үсгэн_дүн_тоо
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,c48db0d24d70bc97285fdaf9dc8221c1,Англи хэлний түүх,A+,G,1
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6f3e24662182e125fc58299809ee6a67,"Англи хэлний эдийн засаг, бизнесийн орчуулга",A,G,2
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6f3e24662182e125fc58299809ee6a67,"Англи хэлний эдийн засаг, бизнесийн орчуулга",A+,G,2
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,97ea23024b2ad96252af3583dce92d5f,Англи хэлний эх судлал,A+,G,1
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,A,G,21
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,A+,G,14
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,B,G,3
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,B,G,3
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,B+,G,7
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,C,G,2
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,C,G,1
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,D,G,4
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,D,G,1
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,F,W,6
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,8be3773c9891a24b804b007c6ccfe7db,Анхан шатны солонгос хэл 1,F,WF,4
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,A,G,10
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,A+,G,11
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,B,G,3
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,B,G,4
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,B+,G,1
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,C,G,2
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,C,G,8
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,D,G,1
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,D,G,2
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,F,G,6
14fa6c895fd46fa1ffa486d6c63ccd32,Ази судлалын тэнхим,6a5786dfbaaebbc3e92329baab4b4c08,Анхан шатны хятад хэлний бичих дадал,F,WF,2
